,Stock,Date
1082,S55,2006-12-22
1083,S72,2018-05-22
1084,S74,2021-06-11
1085,S96,2014-08-21
1086,S99,2006-12-22
1087,SAB,2016-11-25
1088,SAC,2016-11-08
1089,SAF,2009-06-08
1090,SAL,2017-10-20
1091,SAM,2000-07-18
1092,SAP,2018-05-07
1093,SAS,2015-04-16
1094,SAV,2002-04-26
1095,SB1,2016-12-26
1096,SBA,2010-04-28
1097,SBD,2017-02-16
1098,SBG,2023-11-13
1099,SBH,2018-06-07
1100,SBL,2017-01-23
1101,SBM,2017-09-21
1102,SBR,2020-11-02
1103,SBS,2014-04-28
1104,SBT,2008-02-25
1105,SBV,2017-05-03
1106,SC5,2007-04-10
1107,SCC,2014-08-06
1108,SCD,2006-11-12
1109,SCG,2021-10-25
1110,SCI,2016-01-05
1111,SCJ,2019-05-27
1112,SCL,2020-05-18
1113,SCO,2010-09-17
1114,SCR,2016-10-06
1115,SCS,2018-06-26
1116,SCY,2017-10-25
1117,SD1,2015-06-08
1118,SD2,2022-08-08
1119,SD3,2013-12-24
1120,SD4,2023-06-14
1121,SD5,2006-12-27
1122,SD6,2024-09-06
1123,SD7,2018-06-01
1124,SD8,2015-12-25
1125,SD9,2006-12-20
1126,SDA,2006-12-21
1127,SDB,2014-07-03
1128,SDC,2006-12-25
1129,SDD,2019-06-14
1130,SDG,2009-12-22
1131,SDJ,2014-12-02
1132,SDK,2010-10-28
1133,SDN,2009-06-22
1134,SDP,2019-03-01
1135,SDT,2024-02-05
1136,SDU,2009-09-28
1137,SDV,2011-04-22
1138,SDX,2015-09-24
1139,SDY,2017-06-09
1140,SEA,2016-12-23
1141,SEB,2009-01-14
1142,SED,2009-08-19
1143,SEP,2017-02-06
1144,SFC,2004-06-16
1145,SFG,2014-11-17
1146,SFI,2006-12-08
1147,SFN,2009-06-12
1148,SGB,2020-10-15
1149,SGC,2009-06-18
1150,SGD,2006-12-28
1151,SGH,2009-07-30
1152,SGI,2021-09-14
1153,SGN,2018-07-04
1154,SGO,
1155,SGP,2016-04-25
1156,SGR,2017-12-21
1157,SGS,2010-12-22
1158,SGT,2008-01-10
1159,SHA,2016-09-27
1160,SHB,2021-09-20
1161,SHC,2017-10-13
1162,SHE,2019-01-25
1163,SHG,2015-04-10
1164,SHI,2009-12-23
1165,SHN,2009-12-16
1166,SHP,2014-07-14
1167,SHS,2009-06-25
1168,SHX,
1169,SID,2017-01-09
1170,SIG,2019-10-10
1171,SII,2012-08-22
1172,SIP,2023-06-29
1173,SIV,2017-05-23
1174,SJ1,2009-06-08
1175,SJC,2021-07-02
1176,SJD,2006-12-11
1177,SJE,2006-12-14
1178,SJF,
1179,SJG,2018-02-12
1180,SJM,2014-05-29
1181,SJS,2006-05-11
1182,SKG,2014-05-16
1183,SKH,2017-10-25
1184,SKN,2018-10-10
1185,SKV,2017-11-03
1186,SLS,2012-10-16
1187,SMA,2010-09-23
1188,SMB,2018-06-27
1189,SMC,2006-09-29
1190,SMN,2015-07-14
1191,SMT,2010-07-30
1192,SNC,2014-11-11
1193,SNZ,2017-11-20
1194,SP2,2016-09-30
1195,SPB,2016-10-17
1196,SPC,2022-01-27
1197,SPD,2010-04-22
1198,SPH,2014-05-20
1199,SPI,2012-09-26
1200,SPM,2010-05-07
1201,SPV,2017-02-14
1202,SQC,2016-05-26
1203,SRA,2008-01-18
1204,SRB,2016-05-26
1205,SRC,2009-09-23
1206,SRF,2009-10-05
1207,SRT,
1208,SSB,2020-12-30
1209,SSC,2004-12-29
1210,SSF,2010-04-20
1211,SSG,2015-06-03
1212,SSH,2021-08-04
1213,SSI,2007-10-18
1214,SSM,2008-11-17
1215,SSN,2013-10-15
1216,ST8,2007-12-10
1217,STB,2006-06-02
1218,STC,2006-12-27
1219,STG,2010-02-04
1220,STH,2020-03-17
1221,STK,2015-09-10
1222,STL,2013-11-12
1223,STP,2006-10-09
1224,STS,2010-03-30
1225,STT,2018-07-13
1226,STW,2018-07-06
1227,SVC,2009-05-27
1228,SVD,2020-12-23
1229,SVG,2016-04-06
1230,SVH,2017-12-28
1231,SVI,2012-03-05
1232,SVN,2011-07-26
1233,SVT,2011-07-26
1234,SWC,2011-04-29
1235,SZB,2019-12-20
1236,SZC,2018-12-18
1237,SZE,2016-12-09
1238,SZG,2021-12-27
1239,SZL,2008-08-15
1240,TA3,
1241,TA6,2017-11-28
1242,TA9,2015-07-31
1243,TAN,2019-06-10
1244,TAR,2024-05-31
1245,TAW,2016-07-29
1246,TB8,2016-12-30
1247,TBC,2009-09-25
1248,TBD,2014-10-15
1249,TBH,2021-08-13
1250,TBR,2022-07-20
1251,TBT,2010-03-01
1252,TBW,2024-01-09
1253,TBX,2008-11-18
1254,TC6,
1255,TCB,2018-05-22
1256,TCD,2017-05-17
1257,TCH,2016-09-15
1258,TCI,2023-12-28
1259,TCJ,2017-11-24
1260,TCK,2017-10-27
1261,TCL,2009-12-11
1262,TCM,2007-10-05
1263,TCO,2012-02-08
1264,TCR,2006-12-26
1265,TCT,2016-01-14
1266,TCW,2017-06-26
1267,TDB,
1268,TDC,2010-04-16
1269,TDF,2020-05-12
1270,TDG,2017-06-06
1271,TDH,2006-11-23
1272,TDI,
1273,TDM,2018-10-05
1274,TDN,
1275,TDP,2020-07-24
1276,TDS,2011-10-06
1277,TDT,2018-07-18
1278,TDW,2010-09-17
1279,TED,2022-05-10
1280,TEG,2017-12-28
1281,TEL,2017-09-26
1282,TET,2010-04-28
1283,TFC,2015-12-03
1284,TGG,2018-05-09
1285,TGP,2009-06-24
1286,TH1,2018-04-27
1287,THB,2008-11-19
1288,THD,2020-06-19
1289,THG,2011-04-28
1290,THM,2023-10-18
1291,THN,2017-10-05
1292,THP,2019-11-18
1293,THS,2013-11-12
1294,THT,2008-10-24
1295,THU,2017-06-06
1296,THW,2016-03-01
1297,TID,2018-12-12
1298,TIE,2019-08-09
1299,TIG,2010-10-08
1300,TIN,2021-12-28
1301,TIP,2016-03-09
1302,TIS,2011-03-24
1303,TIX,2009-11-17
1304,TJC,2007-12-17
1305,TKA,2020-06-03
1306,TKC,2024-03-20
1307,TKG,2022-08-29
1308,TKU,2006-06-26
1309,TL4,2015-02-04
1310,TLD,2017-11-29
1311,TLG,2010-02-02
1312,TLH,2010-03-04
1313,TLI,2019-01-25
1314,TLP,2017-12-08
1315,TLT,2006-12-08
1316,TMB,2017-01-16
1317,TMC,2009-06-08
1318,TMG,2017-02-07
1319,TMP,2009-06-08
1320,TMS,2000-08-02
1321,TMT,2010-01-15
1322,TMW,2009-12-23
1323,TMX,2009-11-02
1324,TN1,2019-03-13
1325,TNA,2005-05-04
1326,TNB,2010-04-16
1327,TNC,2007-08-07
1328,TNG,2007-11-22
1329,TNH,2020-12-23
1330,TNI,2017-05-22
1331,TNM,2009-10-27
1332,TNP,2016-12-23
1333,TNS,2017-01-06
1334,TNT,2010-05-14
1335,TNW,2017-05-26
1336,TOP,2015-07-23
1337,TOS,2021-09-08
1338,TOT,2022-01-20
1339,TOW,2019-01-25
1340,TPB,2018-03-22
1341,TPC,2007-11-20
1342,TPH,2006-12-15
1343,TPP,2008-09-26
1344,TPS,2015-12-01
1345,TQN,2017-02-08
1346,TQW,2019-06-14
1347,TR1,2020-08-24
1348,TRA,2008-11-12
1349,TRC,2007-07-17
1350,TRS,2015-09-18
1351,TRT,2017-03-16
1352,TS3,2018-01-19
1353,TS4,2021-09-24
1354,TSB,2011-01-10
1355,TSC,2007-09-24
1356,TSD,2018-01-10
1357,TSG,2017-04-18
1358,TSJ,2017-08-01
1359,TST,2022-08-08
1360,TTA,2020-08-18
1361,TTB,2024-01-19
1362,TTC,2010-01-07
1363,TTD,2017-02-06
1364,TTE,2018-11-26
1365,TTF,2008-02-01
1366,TTG,2010-02-02
1367,TTH,2016-10-26
1368,TTL,2018-01-18
1369,TTN,2017-04-19
1370,TTP,2017-03-15
1371,TTS,2017-05-17
1372,TTT,2017-06-02
1373,TTZ,2024-02-07
1374,TUG,2017-02-21
1375,TV1,2018-06-22
1376,TV2,2019-04-22
1377,TV3,2009-12-01
1378,TV4,2008-07-22
1379,TV6,2021-05-21
1380,TVA,2017-04-11
1381,TVB,2018-06-13
1382,TVC,2014-09-23
1383,TVD,2011-01-11
1384,TVG,2010-01-25
1385,TVH,2019-01-17
1386,TVM,2015-12-15
1387,TVN,2016-01-18
1388,TVP,
1389,TVS,2014-12-25
1390,TVT,2017-06-27
1391,TVW,
1392,TW3,2016-10-18
1393,TXM,2006-12-11
1394,TYA,2005-02-12
1395,UCT,2016-11-15
1396,UDC,2010-06-28
1397,UDJ,2009-12-22
1398,UDL,2020-01-09
1399,UEM,2015-09-24
1400,UIC,2007-10-31
1401,UMC,2017-08-28
1402,UNI,2009-06-08
1403,UPC,2017-04-21
1404,UPH,2016-12-29
1405,USC,2017-02-06
1406,USD,2019-01-30
1407,V11,2008-12-15
1408,V12,2010-01-05
1409,V15,2015-07-21
1410,V21,2010-04-21
1411,VAB,2021-07-20
1412,VAF,2015-05-21
1413,VAV,2017-07-26
1414,VBB,2019-07-30
1415,VBC,2010-03-17
1416,VBG,2017-03-24
1417,VBH,2017-06-05
1418,VC1,2009-05-14
1419,VC2,2006-12-11
1420,VC3,2007-12-13
1421,VC5,2016-06-03
1422,VC6,2008-01-28
1423,VC7,2007-12-28
1424,VC9,2009-11-05
1425,VCA,2020-12-30
1426,VCB,2009-06-12
1427,VCC,2009-02-05
1428,VCE,2016-12-29
1429,VCF,2011-01-21
1430,VCG,2020-12-16
1431,VCI,2017-06-30
1432,VCM,2010-05-11
1433,VCP,2016-12-16
1434,VCR,2020-05-12
1435,VCS,2007-12-17
1436,VCT,2010-07-15
1437,VCW,2016-11-23
1438,VCX,2014-04-01
1439,VDB,2018-11-22
1440,VDL,2007-11-27
1441,VDN,2010-07-15
1442,VDP,2017-07-27
1443,VDS,2017-06-29
1444,VDT,2011-03-01
1445,VE1,2008-09-04
1446,VE2,2023-10-06
1447,VE3,2010-06-30
1448,VE4,2012-10-16
1449,VE8,2012-07-24
1450,VE9,2020-11-17
1451,VEA,2018-07-02
1452,VEC,2017-07-14
1453,VEF,2015-12-22
1454,VES,2015-03-18
1455,VET,2017-12-13
1456,VFC,2013-07-01
1457,VFG,2009-12-11
1458,VFR,2017-06-09
1459,VFS,
1460,VGC,2019-04-26
1461,VGG,2016-03-10
1462,VGI,2018-09-25
1463,VGL,2016-08-15
1464,VGP,2009-06-12
1465,VGR,2018-04-12
1466,VGS,2008-12-04
1467,VGT,2017-01-03
1468,VGV,2017-07-17
1469,VHC,2007-12-07
1470,VHD,2017-06-22
1471,VHE,2019-01-14
1472,VHF,2010-05-07
1473,VHG,2019-05-31
1474,VHH,2014-06-25
1475,VHL,2009-02-12
1476,VHM,2018-05-07
1477,VIB,2020-10-16
1478,VIC,2007-09-07
1479,VID,2006-07-12
1480,VIE,2022-08-03
1481,VIF,2020-02-03
1482,VIG,2009-12-01
1483,VIH,2017-04-24
1484,VIM,2017-01-24
1485,VIN,2014-09-04
1486,VIP,2006-11-09
1487,VIR,2010-07-01
1488,VIT,2009-11-03
1489,VIW,2018-01-05
1490,VIX,2020-12-23
1491,VJC,2017-02-06
1492,VKC,2023-05-09
1493,VKP,2013-11-15
1494,VLA,2010-08-04
1495,VLB,2016-09-22
1496,VLC,2015-10-26
1497,VLF,2016-05-13
1498,VLG,2015-09-18
1499,VLP,2017-07-18
1500,VLW,2017-07-17
1501,VMA,2015-08-28
1502,VMC,2006-12-11
1503,VMD,2010-08-17
1504,VMG,2017-10-11
1505,VMS,2015-10-20
1506,VMT,2023-01-06
1507,VNA,2017-05-03
1508,VNB,2016-07-15
1509,VNC,2006-12-21
1510,VND,2017-08-10
1511,VNE,2007-08-01
1512,VNF,2010-12-01
1513,VNG,2009-11-30
1514,VNH,2017-03-31
1515,VNI,2015-06-04
1516,VNL,2009-08-10
1517,VNM,2005-12-28
1518,VNP,2015-08-18
1519,VNR,2006-03-13
1520,VNS,2008-07-23
1521,VNT,2009-08-14
1522,VNX,2010-06-10
1523,VNY,2018-08-03
1524,VNZ,2023-01-05
1525,VOC,2016-09-19
1526,VOS,2010-08-30
1527,VPA,2016-01-27
1528,VPB,2017-08-08
1529,VPC,2015-05-29
1530,VPD,2017-12-25
1531,VPG,2017-12-27
1532,VPH,2009-08-31
1533,VPI,2018-05-31
1534,VPR,2016-12-20
1535,VPS,2015-08-04
1536,VPW,2017-11-13
1537,VQC,2010-02-26
1538,VRC,2010-07-19
1539,VRE,2017-10-25
1540,VRG,2014-11-10
1541,VSA,2015-12-22
1542,VSC,2007-12-12
1543,VSE,2018-10-10
1544,VSF,2018-04-23
1545,VSG,2013-06-19
1546,VSH,2006-06-28
1547,VSI,2010-12-01
1548,VSM,2017-07-17
1549,VSN,2016-10-21
1550,VST,2015-06-10
1551,VTA,2009-08-06
1552,VTB,2006-12-08
1553,VTC,2009-06-08
1554,VTD,2019-11-06
1555,VTE,2018-06-05
1556,VTG,2015-12-25
1557,VTH,2014-10-29
1558,VTI,2010-12-17
1559,VTJ,2017-04-26
1560,VTK,2018-12-18
1561,VTL,2023-05-31
1562,VTM,2015-12-29
1563,VTO,2007-10-01
1564,VTP,2023-12-21
1565,VTQ,2021-05-17
1566,VTR,2019-09-27
1567,VTS,2021-04-16
1568,VTV,2006-12-18
1569,VTX,2014-05-15
1570,VTZ,2021-11-25
1571,VUA,2022-01-25
1572,VVN,2017-10-17
1573,VVS,2022-10-07
1574,VW3,2020-04-23
1575,VWS,2017-01-06
1576,VXB,2022-07-11
1577,VXP,2019-08-19
1578,VXT,2020-05-20
1579,WCS,2010-09-17
1580,WSB,2010-08-10
1581,WSS,2009-12-15
1582,WTC,2010-07-15
1583,X20,2018-02-05
1584,X26,2018-07-09
1585,X77,2017-02-17
1586,XDC,
1587,XDH,2018-10-22
1588,XHC,2016-11-03
1589,XLV,2018-05-22
1590,XMC,2019-06-28
1591,XMD,2015-12-25
1592,XMP,2021-08-16
1593,XPH,2014-11-25
1594,YBC,2014-06-25
1595,YBM,2018-08-10
1596,YEG,2018-06-19
1597,YTC,2017-08-03
